Model,Price,Rating,Generation,Core,Ram_GB,SSD_GB,Display_Inches,Graphics,OS,Warranty
HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),50399.0,70.0,5th gen amd ryzen 5 5600h,"hexa core, 12 threads",8,512.0,15.6,4 gb amd radeon rx 6500m,windows 11 os,1 year warranty
Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),23990.0,56.0,11th gen intel core i3 1115g4,"dual core, 4 threads",8,512.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
Lenovo V15 G4 ‎82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),26989.0,55.0,7th gen amd ryzen 3 7320u,"quad core, 8 threads",8,512.0,15.6,amd radeon graphics,windows 11 os,1 year warranty
Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),69990.0,60.0,12th gen intel core i5 1240p,"12 cores (4p + 8e), 16 threads",16,512.0,13.3,intel iris xe graphics,windows 11 os,1 year warranty
Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),102990.0,78.0,14th gen intel core i9 14900hx,"24 cores (8p + 16e), 32 threads",16,1.0,16.1,8 gb nvidia geforce rtx 4060,windows 11 os,1 year warranty
HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),35990.0,55.0,12th gen intel core i3 1215u,"hexa core (2p + 4e), 8 threads",8,512.0,15.6,intel uhd graphics,windows 11 os,1 year warranty
Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),79990.0,,apple m1,octa core (4p + 4e),8,256.0,13.3,apple m1 integrated graphics,mac os,1 year warranty
Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),42990.0,54.0,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",8,512.0,15.6,intel integrated uhd,windows 11 os,1 year warranty
HP 15s-fq5330TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),54990.0,56.0,12th gen intel core i5 1235u,"10 cores (2p + 8e), 12 threads",16,512.0,15.6,intel integrated iris xe,windows 11 os,1 year warranty
HP Victus 15-fb1017AX Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),56490.0,69.0,7th gen amd ryzen 5 7535hs,"hexa core, 12 threads",16,512.0,15.6,4 gb nvidia geforce rtx 2050,windows 11 os,1 year warranty
